,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
728,750.0,0.511,1468.0,2.0,0.25,8.0,304.0,36.0,71.0,610.0,752.0,0.509,1476.0,589.0,0.797,739.0,82.0,82.0,NBA,2947.0,169.0,229.0,2095.0,Ubiratan Pereira Maciel,PF,79.0,1999-00,231.0,779.0,UTA,0.51
729,668.0,0.499,1340.0,2.0,0.4,5.0,361.0,37.0,62.0,555.0,670.0,0.498,1345.0,536.0,0.7929999999999999,676.0,81.0,81.0,NBA,2895.0,114.0,216.0,1878.0,Ubiratan Pereira Maciel,PF,93.0,2000-01,244.0,669.0,UTA,0.499
730,626.0,0.456,1374.0,9.0,0.36,25.0,341.0,38.0,59.0,544.0,635.0,0.45399999999999996,1399.0,509.0,0.797,639.0,80.0,80.0,NBA,3040.0,142.0,229.0,1788.0,Ubiratan Pereira Maciel,PF,152.0,2001-02,263.0,686.0,UTA,0.457
731,592.0,0.46399999999999997,1275.0,3.0,0.214,14.0,379.0,39.0,31.0,515.0,595.0,0.462,1289.0,474.0,0.763,621.0,81.0,81.0,NBA,2936.0,113.0,204.0,1667.0,Ubiratan Pereira Maciel,PF,136.0,2002-03,210.0,628.0,UTA,0.46299999999999997
732,193.0,0.484,399.0,0.0,0.0,1.0,163.0,40.0,20.0,306.0,193.0,0.483,400.0,168.0,0.747,225.0,42.0,42.0,NBA,1373.0,61.0,116.0,554.0,Ubiratan Pereira Maciel,PF,50.0,2003-04,103.0,367.0,LAL,0.483
733,13443.0,0.519,25900.0,85.0,0.27399999999999997,310.0,5248.0,,1145.0,11406.0,13528.0,0.516,26210.0,9787.0,0.742,13188.0,1476.0,1471.0,NBA,54852.0,3562.0,4578.0,36928.0,Ubiratan Pereira Maciel,,2085.0,Career,4524.0,14968.0,,0.518
734,,,,,,,,,,,,,,,,,,,,,,,,Ubiratan Pereira Maciel,,,,,,,
735,13250.0,0.52,25501.0,85.0,0.275,309.0,5085.0,,1125.0,11100.0,13335.0,0.517,25810.0,9619.0,0.742,12963.0,1434.0,1429.0,NBA,53479.0,3501.0,4462.0,36374.0,Ubiratan Pereira Maciel,,2035.0,18 seasons,4421.0,14601.0,UTA,0.518
736,193.0,0.484,399.0,0.0,0.0,1.0,163.0,,20.0,306.0,193.0,0.483,400.0,168.0,0.747,225.0,42.0,42.0,NBA,1373.0,61.0,116.0,554.0,Ubiratan Pereira Maciel,,50.0,1 season,103.0,367.0,LAL,0.483
737,986.0,0.496,1987.0,0.0,0.0,11.0,190.0,20.0,,1104.0,986.0,0.493,1998.0,547.0,0.7759999999999999,705.0,84.0,,ABA,3808.0,533.0,221.0,2519.0,John Isaacs,PF,,1969-70,253.0,1637.0,DNR,0.493
738,260.0,0.449,579.0,,,,48.0,21.0,,,260.0,0.449,579.0,160.0,0.7340000000000001,218.0,33.0,,NBA,1162.0,,84.0,680.0,John Isaacs,PF,,1970-71,,396.0,SEA,0.449
739,717.0,0.461,1557.0,,,,148.0,22.0,,,717.0,0.461,1557.0,480.0,0.8190000000000001,586.0,73.0,,NBA,3167.0,,208.0,1914.0,John Isaacs,PF,,1971-72,,926.0,SEA,0.461
740,889.0,0.47600000000000003,1868.0,,,,196.0,23.0,,,889.0,0.47600000000000003,1868.0,473.0,0.8390000000000001,564.0,77.0,,NBA,3259.0,,213.0,2251.0,John Isaacs,PF,,1972-73,,995.0,SEA,0.47600000000000003
