,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,,,,,,,51.0,24.0,,,237.0,0.423,560.0,114.0,0.695,164.0,72.0,,NBA,1255.0,,210.0,588.0,Bobby McDermott,C,,1953-54,,419.0,MNL,
1,,,,,,,100.0,25.0,,,519.0,0.435,1192.0,273.0,0.6859999999999999,398.0,70.0,,NBA,2361.0,,262.0,1311.0,Bobby McDermott,C,,1954-55,,802.0,MNL,
2,,,,,,,164.0,26.0,,,594.0,0.434,1370.0,338.0,0.721,469.0,71.0,,NBA,2518.0,,245.0,1526.0,Bobby McDermott,C,,1955-56,,992.0,MNL,
3,,,,,,,139.0,27.0,,,574.0,0.426,1348.0,286.0,0.7170000000000001,399.0,69.0,,NBA,2492.0,,251.0,1434.0,Bobby McDermott,C,,1956-57,,932.0,MNL,
4,,,,,,,134.0,28.0,,,679.0,0.441,1540.0,301.0,0.743,405.0,71.0,,NBA,2589.0,,236.0,1659.0,Bobby McDermott,C,,1957-58,,862.0,CIN,
5,,,,,,,91.0,29.0,,,402.0,0.45399999999999996,885.0,205.0,0.82,250.0,70.0,,NBA,1599.0,,216.0,1009.0,Bobby McDermott,C,,1958-59,,605.0,STL,
6,,,,,,,127.0,30.0,,,550.0,0.46799999999999997,1174.0,316.0,0.821,385.0,68.0,,NBA,1953.0,,248.0,1416.0,Bobby McDermott,C,,1959-60,,721.0,STL,
7,,,,,,,172.0,31.0,,,599.0,0.45299999999999996,1321.0,273.0,0.83,329.0,67.0,,NBA,2111.0,,248.0,1471.0,Bobby McDermott,C,,1960-61,,677.0,STL,
8,,,,,,,68.0,32.0,,,341.0,0.47100000000000003,724.0,155.0,0.8290000000000001,187.0,40.0,,NBA,1192.0,,136.0,837.0,Bobby McDermott,C,,1961-62,,350.0,STL,
9,,,,,,,27.0,33.0,,,161.0,0.428,376.0,73.0,0.745,98.0,61.0,,NBA,568.0,,137.0,395.0,Bobby McDermott,C,,1962-63,,177.0,BOS,
10,,,,,,,24.0,34.0,,,128.0,0.42,305.0,45.0,0.789,57.0,45.0,,NBA,437.0,,100.0,301.0,Bobby McDermott,C,,1963-64,,126.0,BOS,
11,,,,,,,1097.0,,,,4784.0,0.44299999999999995,10795.0,2379.0,0.757,3141.0,704.0,,NBA,19075.0,,2289.0,11947.0,Bobby McDermott,,,Career,,6663.0,,
12,,,,,,,,,,,,,,,,,,,,,,,,Bobby McDermott,,,,,,,
13,,,,,,,454.0,,,,1924.0,0.43,4470.0,1011.0,0.7070000000000001,1430.0,282.0,,NBA,8626.0,,968.0,4859.0,Bobby McDermott,,,4 seasons,,3145.0,MNL,
14,,,,,,,458.0,,,,1892.0,0.461,4104.0,949.0,0.825,1151.0,245.0,,NBA,6855.0,,848.0,4733.0,Bobby McDermott,,,4 seasons,,2353.0,STL,
15,,,,,,,51.0,,,,289.0,0.424,681.0,118.0,0.7609999999999999,155.0,106.0,,NBA,1005.0,,237.0,696.0,Bobby McDermott,,,2 seasons,,303.0,BOS,
16,,,,,,,134.0,,,,679.0,0.441,1540.0,301.0,0.743,405.0,71.0,,NBA,2589.0,,236.0,1659.0,Bobby McDermott,,,1 season,,862.0,CIN,
17,,,,,,,330.0,23.0,,,664.0,0.436,1522.0,273.0,0.738,370.0,80.0,,NBA,2762.0,,217.0,1601.0,Elvin Hayes,PG,,1966-67,,359.0,DET,
